index,genres,keywords,tagline,title,cast,director
2753,Fantasy Drama Comedy,individual transvestism sexual identity witch identity,Ever wanted to be someone else? Now you can.,Being John Malkovich,John Cusack Cameron Diaz Catherine Keener Charlie Sheen John Malkovich,Spike Jonze
2754,Comedy Romance,,,Two Can Play That Game,Vivica A. Fox Morris Chestnut Anthony Anderson Gabrielle Union Wendy Raquel Robinson,Mark Brown
2755,Family Adventure Science Fiction,alien found footage,No one will ever believe our story.,Earth to Echo,Teo Halm Astro Resse Hartwig Ella Wahlestedt Jason Gray-Stanford,Dave Green
2756,Drama Romance,lovesickness jealousy parents kids relationship love of one's life cutting the cord,When it's real. When it's right. Don't let anything stand in your way.,Crazy/Beautiful,Kirsten Dunst Jay Hernandez Bruce Davison Herman Osorio Miguel Castro,John Stockwell
2757,Action Adventure Drama War,world war ii cave dying and death pacific theater japanese army,The battle of Iwo Jima seen through the eyes of the Japanese soldiers.,Letters from Iwo Jima,Ken Watanabe Kazunari Ninomiya Tsuyoshi Ihara Ryo Kase Shidou Nakamura,Clint Eastwood
2758,Adventure Comedy Drama Science Fiction,nasa texas dream fbi bankrupt,,The Astronaut Farmer,Billy Bob Thornton Virginia Madsen Max Thieriot Jasper Polish Logan Polish,Michael Polish
2759,Comedy Romance,"blind date love manhattan, new york city woman director",It's Woo's world.. we're just living in it.,Woo,Jada Pinkett Smith Tommy Davidson Duane Martin Michael Ralph Darrel Heath,Daisy von Scherler Mayer
2760,Drama Thriller,based on novel carpet isolation kidnapping imprisonment,Love knows no boundaries,Room,Brie Larson Jacob Tremblay Joan Allen Sean Bridgers William H. Macy,Lenny Abrahamson
2761,Comedy,,Revenge is a dish best served DIRTY.,Dirty Work,Norm Macdonald Artie Lange Jack Warden Traylor Howard Don Rickles,Bob Saget
2762,Comedy Crime Horror Thriller,housewife protection motherly love evil mother murder,"Every Mom Wants to Be Wanted, But Not For Murder One!",Serial Mom,Kathleen Turner Sam Waterston Ricki Lake Matthew Lillard Traci Lords,John Waters
2763,Comedy,richard nixon watergate the white house,The unmaking of the president,Dick,Kirsten Dunst Michelle Williams Will Ferrell Dan Hedaya Bruce McCulloch,Andrew Fleming
2764,Drama Thriller,,,Light It Up,Usher Raymond Vanessa Williams Forest Whitaker Rosario Dawson Robert Ri'chard,Craig Bolotin
2765,Music Drama,new york sex nightclub money drug,You've never been anywhere until you've been here,54,Ryan Phillippe Salma Hayek Breckin Meyer Mike Myers Neve Campbell,Mark Christopher
2766,Adventure Comedy Drama Romance,lovesickness niagara falls crush youth illness,Life is an adventure. Don't blow it.,Bubble Boy,Jake Gyllenhaal Swoosie Kurtz Marley Shelton Danny Trejo John Carroll Lynch,Blair Hayes
2767,Comedy Crime Thriller,female nudity robbery mail order bride bank clerk,,Birthday Girl,Nicole Kidman Ben Chaplin Vincent Cassel Mathieu Kassovitz Kate Lynn Evans,Jez Butterworth
2768,Comedy,alcohol birthday debauchery,Finally.,21 & Over,Miles Teller Skylar Astin Justin Chon Sarah Wright Jonathan Keltz,Jon Lucas
2769,Drama Romance,paris city portrait jazz subway new love,Fall in love with Paris 18 times.,"Paris, je t'aime",Steve Buscemi Natalie Portman Willem Dafoe Maggie Gyllenhaal Axel Kiener,Isabel Coixet
2770,Drama,sport,,Resurrecting the Champ,Samuel L. Jackson Josh Hartnett Alan Alda Teri Hatcher Kathryn Morris,Rod Lurie
2771,Comedy Drama Romance,princeton university admissions,Let someone in.,Admission,Tina Fey Paul Rudd Michael Sheen Lily Tomlin Wallace Shawn,Paul Weitz
2772,Romance Drama,france island fisherman love revenge,,The Widow of Saint-Pierre,Daniel Auteuil Emir Kusturica Juliette Binoche Michel Duchaussoy Philippe Magnan,Patrice Leconte
2773,Drama Thriller Mystery,toronto lesbian remake of french film suspicious wife female doctor,"If the one you love was lying to you, how far would you go to find out the truth?",Chloe,Julianne Moore Liam Neeson Amanda Seyfried Max Thieriot R. H. Thomson,Atom Egoyan
2774,Comedy Crime Drama,kitchen female protagonist bathtub wedding anniversary flashback,"A comedy about a wife, her husband and his hit man.",Faithful,Cher Chazz Palminteri Ryan O'Neal Paul Mazursky Amber Smith,Paul Mazursky
2775,Drama Action Comedy Crime,court case staatsanw\u00e4ltin family clan gangster,,Find Me Guilty,Vin Diesel Alex Rocco Frank Pietrangolare Richard DeDomenico Paul Borghese,Sidney Lumet
2776,Drama Romance,shyness secret narration kiss freshman,We are infinite.,The Perks of Being a Wallflower,Logan Lerman Emma Watson Ezra Miller Paul Rudd Nina Dobrev,Stephen Chbosky
2777,Action,police shoulder holster police shootout shootout at a train station,You have the right to remain silent... permanently.,Excessive Force,Thomas Ian Griffith Lance Henriksen James Earl Jones Burt Young Tony Todd,Jon Hess
2778,Drama,killing death penalty kansas author murder hunt,There's more to the story than you know,Infamous,Sigourney Weaver Toby Jones Gwyneth Paltrow Sandra Bullock Isabella Rossellini,Douglas McGrath
2779,Drama Romance Western,,Everything has a price.,The Claim,Peter Mullan Milla Jovovich Wes Bentley Nastassja Kinski Sarah Polley,Michael Winterbottom
2780,Thriller Horror,exorcism anti-christ exorcist,"For 2,000 years the Vatican has recorded evidence of evil. May God have mercy on their souls.",The Vatican Tapes,Olivia Taylor Dudley Michael Pe\u00f1a Djimon Hounsou Dougray Scott Peter Andersson,Mark Neveldine
2781,Action Comedy Science Fiction,street gang fireworks chase meteor playground,Inner City vs. Outer Space,Attack the Block,Nick Frost Jodie Whittaker John Boyega Luke Treadaway Flaminia Cinque,Joe Cornish
2782,Drama Romance War,muslim sister sister relationship sarajevo bosnian war of 1992-1995 violence,Love can change what we want… war can change who we are,In the Land of Blood and Honey,Zana Marjanovi\u0107 Goran Kosti\u0107 Branko \u0110uri\u0107 Dzana Pinjo Milo\u0161 Timotijevi\u0107,Angelina Jolie
2783,Crime Thriller,underground gas station kidnapping murder suspense,There are 188 million 911 calls a year. This one made it personal.,The Call,Halle Berry Abigail Breslin Morris Chestnut Michael Imperioli Ella Rae Peck,Brad Anderson
2784,History Drama War Action,"korea fictionalized history operation ""trudy jackson"" general douglas macarthur operation x-ray",The Odds Were 5000 to 1 … One was all They Needed.,Operation Chromite,Lee Jung-jae Liam Neeson Lee Beom-soo Jin Se-yeon Jung Joon-ho,John H. Lee
2785,Family Action Adventure,crocodile,His First Big-Screen Adventure!,The Crocodile Hunter: Collision Course,Steve Irwin Terri Irwin Magda Szubanski David Wenham Lachy Hulme,John Stainton
2786,Comedy Drama Romance,judge small town con man fraud jail,The Conman who wouldn't go straight.,I Love You Phillip Morris,Jim Carrey Ewan McGregor Leslie Mann Rodrigo Santoro Brennan Brown,Glenn Ficarra
2787,Adventure Drama,stone age cavemen prehistoric adventure prehistoric times prehistoric man,,Quest for Fire,Everett McGill Ron Perlman Nicholas Kadi Rae Dawn Chong Gary Schwartz,Jean-Jacques Annaud
2788,Drama Romance,u.s. navy biography,Antwone Fisher is at war... with himself.,Antwone Fisher,Derek Luke Malcolm David Kelley Cory Hodges Denzel Washington Joy Bryant,Denzel Washington
2789,Drama Romance,,In everyone's life there's that one person who makes all the difference.,The Emperor's Club,Kevin Kline Emile Hirsch Embeth Davidtz Rob Morrow Edward Herrmann,Michael Hoffman
2790,Action Thriller Crime Romance,father son relationship film producer mexican standoff loss of father cocaine,"Stealing, Cheating, Killing. Who said romance was dead?",True Romance,Christian Slater Patricia Arquette Michael Rapaport Bronson Pinchot Gary Oldman,Tony Scott
2791,Romance Science Fiction,,What are the consequences of giving birth to your dead boyfriend?,Womb,Eva Green Matt Smith Lesley Manville Peter Wight Istv\u00e1n L\u00e9n\u00e1rt,Benedek Fliegauf
2792,Crime Drama Mystery,robbery office shop estate agent company,Lie. Cheat. Steal. All in a day’s work.,Glengarry Glen Ross,Al Pacino Jack Lemmon Alec Baldwin Alan Arkin Ed Harris,James Foley
2793,Crime Drama Thriller,sheriff crime fighter,Nobody See's It Coming,The Killer Inside Me,Casey Affleck Kate Hudson Jessica Alba Ned Beatty Tom Bower,Michael Winterbottom
2794,Drama Fantasy Horror Thriller,shotgun attack lingerie held captive incest,They are something more than lovers who are about to become something less than human.,Cat People,Nastassja Kinski Malcolm McDowell John Heard Ruby Dee Ed Begley Jr.,Paul Schrader
2795,Horror Mystery Thriller,female nudity graduation serial killer blood slasher,The Sisters of Theta Pi Are Dying To Keep a Secret.,Sorority Row,Rumer Willis Briana Evigan Jamie Chung Leah Pipes Teri Andrzejewski,Stewart Hendler
2796,Adventure Drama Romance,kidnapping coronation villain kingdom heir to the throne,The most thrilling swordfight ever filmed...,The Prisoner of Zenda,Ronald Colman Madeleine Carroll Raymond Massey Mary Astor Douglas Fairbanks Jr.,John Cromwell
2797,Comedy Romance Drama,garage lone wolf dying and death loss delusion,The search for true love begins outside the box.,Lars and the Real Girl,Ryan Gosling Emily Mortimer Paul Schneider Kelli Garner Lauren Ash,Craig Gillespie
2798,War Drama,nationalism concentration camp world war ii gas chamber nazis,"Lines may divide us, but hope will unite us.",The Boy in the Striped Pyjamas,Asa Butterfield Jack Scanlon Vera Farmiga David Thewlis Rupert Friend,Mark Herman
2799,Drama Crime Music,individual dancing usa robbery factory worker,You don't need eyes to see.,Dancer in the Dark,Bj\u00f6rk Catherine Deneuve David Morse Peter Stormare Joel Grey,Lars von Trier
2800,Drama Romance,minister australia inheritance wager woman director,"They dared to play the game of love, faith, and chance.",Oscar and Lucinda,Ralph Fiennes Cate Blanchett Ciar\u00e1n Hinds Tom Wilkinson Richard Roxburgh,Gillian Armstrong
2801,Crime Drama,suicide bedroom strike great depression trade union,"One family, one murder, too many lies.",The Funeral,Christopher Walken Chris Penn Annabella Sciorra Isabella Rossellini Vincent Gallo,Abel Ferrara
2802,Comedy Drama Romance,infidelity bankrupt loneliness comedy family drama,Ben loves his family almost as much as he loves himself,Solitary Man,Michael Douglas Danny DeVito Jesse Eisenberg Susan Sarandon Mary-Louise Parker,Brian Koppelman
2803,Action Comedy Thriller,illegal immigration immigration law machete politician death of a child,He was given an offer he couldn't refuse...,Machete,Danny Trejo Michelle Rodriguez Jessica Alba Robert De Niro Lindsay Lohan,Robert Rodriguez
2804,Crime Comedy Drama,biography duringcreditsstinger,Honor. Integrity. Principles. Everything is negotiable.,Casino Jack,Kevin Spacey Kelly Preston Hannah Endicott-Douglas Rachelle Lefevre Barry Pepper,George Hickenlooper
2805,Animation Adventure Family,vulkan loss of mother tyrannosaurus rex earthquake primitive time,A new adventure is born.,The Land Before Time,Gabriel Damon Candace Hutson Judith Barsi Will Ryan Pat Hingle,Don Bluth
2806,Action Adventure Drama History War,archaeologist korean war north korea south korea air raid,,Tae Guk Gi: The Brotherhood of War,Jang Dong-gun Won Bin Lee Eun-ju Gong Hyung-jin Park Jeong-Woo,Kang Je-gyu
2807,Drama Family,baseball sport based on true story family relationships,Dream for the fences.,The Perfect Game,Clifton Collins Jr Cheech Marin Mois\u00e9s Arias Emilie de Ravin Jake T. Austin,William Dear
2808,Drama Horror Thriller,exorcism holy water religion and supernatural vomit christian,"Something almost beyond comprehension is happening to a girl on this street, in this house... and a man has been sent for as a last resort. This man is The Exorcist.",The Exorcist,Linda Blair Max von Sydow Ellen Burstyn Jason Miller Lee J. Cobb,William Friedkin
2809,Horror Thriller Adventure,fishing atlantic ocean bathing shipwreck police chief,Don't go in the water.,Jaws,Roy Scheider Robert Shaw Richard Dreyfuss Lorraine Gary Murray Hamilton,Steven Spielberg
2810,Comedy Romance,graduation innocence coming of age teenager high school student,There's nothing like your first piece.,American Pie,Jason Biggs Chris Klein Thomas Ian Nicholas Alyson Hannigan Shannon Elizabeth,Chris Weitz
2811,Animation Comedy Drama Family,mouse musician friendship prejudice bear,"Bonnie and Clyde, Sid and Nancy...",Ernest & Celestine,Anne-Marie Loop Lambert Wilson Pauline Brunner Patrice Melennec Brigitte Virtudes,St\u00e9phane Aubier
2812,Action Adventure Comedy,monk social worker wretch tibet demon,Eddie Murphy is the chosen one.,The Golden Child,Eddie Murphy Charles Dance Charlotte Lewis Victor Wong Peter Kwong,Michael Ritchie
2813,Comedy Romance,advice love relationship ensemble cast duringcreditsstinger,Let the mind games begin.,Think Like a Man,Michael Ealy Jerry Ferrara Meagan Good Regina Hall Kevin Hart,Tim Story
2814,Comedy Drama,hairdresser shop neighbor debt meeting,Everyone's gettin' lined up.,Barbershop,Ice Cube Anthony Anderson Cedric the Entertainer Sean Patrick Thomas Eve,Tim Story
2815,Action Adventure Science Fiction Thriller,uss enterprise genesis asteroid self sacrifice midlife crisis,At the end of the universe lies the beginning of vengeance.,Star Trek II: The Wrath of Khan,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Nicholas Meyer
2816,Comedy Mystery,dolphin mascot private detective pets,"He's the best there is! (Actually, he's the only one there is.)",Ace Ventura: Pet Detective,Jim Carrey Sean Young Courteney Cox Tone Loc Dan Marino,Tom Shadyac
2817,Thriller Science Fiction,video game artificial intelligence fbi cold war hacker,"Is it a game, or is it real?",WarGames,Matthew Broderick Dabney Coleman Ally Sheedy John Wood Barry Corbin,John Badham
2818,Crime Drama Romance Thriller,corruption detective police brutality amish suspense,A big city cop. A small country boy. They have nothing in common... but a murder.,Witness,Harrison Ford Kelly McGillis Josef Sommer Lukas Haas Jan Rubes,Peter Weir
2819,Action Thriller War,submarine navy scuba diving heroism navy seal,The only easy day was yesterday,Act of Valor,Roselyn S\u00e1nchez Emilio Rivera Nestor Serrano Gonzalo Menendez Alexander Asefa,Mike McCoy
2820,Music Drama Romance Crime,dancing new love dance baltimore art school,Every Second Chance Begins With a First Step,Step Up,Channing Tatum Jenna Dewan Damaine Radcliff De'Shawn Washington Mario,Anne Fletcher
2821,Animation Comedy,washington d.c. casino hotel sun television,Coming to a screen bigger than your TV.,Beavis and Butt-Head Do America,Mike Judge Bruce Willis Demi Moore Robert Stack Richard Linklater,Mike Judge
2822,Comedy Crime Romance,airport underworld arms deal weapon police,Six players on the trail of a half a million in Cash. There's only one question... Who's playing who?,Jackie Brown,Pam Grier Samuel L. Jackson Robert Forster Bridget Fonda Michael Keaton,Quentin Tarantino
2823,Comedy Adventure,terrorist aftercreditsstinger duringcreditsstinger,This time they're running from the joint.,Harold & Kumar Escape from Guantanamo Bay,John Cho Kal Penn Neil Patrick Harris Rob Corddry Jack Conley,Jon Hurwitz
2824,Science Fiction Drama Thriller,seattle telekinesis friendship loneliness outcast,What are you capable of?,Chronicle,Dane DeHaan Alex Russell Michael B. Jordan Michael Kelly Anna Wood,Josh Trank
2825,Music Drama Romance,studies music disguise unhappiness boys' school,,Yentl,Barbra Streisand Mandy Patinkin Amy Irving Nehemiah Persoff Steven Hill,Barbra Streisand
2826,Family Fantasy Science Fiction Adventure Comedy,treasure map magic time travel titanic,All the dreams you've ever had and not just the good ones.,Time Bandits,Sean Connery John Cleese Shelley Duvall Michael Palin Ian Holm,Terry Gilliam
2827,Action Adventure Comedy Drama Family,dancing women sex karaoke dream,Dreams change. Friends are forever,Crossroads,Britney Spears Zoe Saldana Taryn Manning Anson Mount Dan Aykroyd,Tamra Davis
2828,Comedy Crime,vandalism high school swimming pool party teen movie,Witness it,Project X,Oliver Cooper Jonathan Daniel Brown Thomas Mann Dax Flame Kirby Bliss Blanton,Nima Nourizadeh
2829,Drama History War,general world war ii normandy biography historical figure,The Rebel Warrior,Patton,George C. Scott Karl Malden Stephen Young Michael Strong Carey Loftin,Franklin J. Schaffner
2830,Horror Thriller,sexual abuse hotel room cheating supermarket penalty,The things that we fear the most have already happened to us...,One Hour Photo,Robin Williams Connie Nielsen Michael Vartan Erin Daniels Eriq La Salle,Mark Romanek
2831,Horror Science Fiction Thriller,quarantine remake tv reporter found footage virus,Contain The Truth.,Quarantine,Jennifer Carpenter Steve Harris Jay Hernandez Johnathon Schaech Columbus Short,John Erick Dowdle
2832,Drama Horror Thriller,sister sister relationship blindness and impaired vision eye operation eyesight dying and death,How can you believe your eyes when they're not yours?,The Eye,Jessica Alba Alessandro Nivola Parker Posey Rade Serbedzija Fernanda Romero,David Moreau
2833,Comedy Family,,Take the ride.,Johnson Family Vacation,Cedric the Entertainer Vanessa Williams Steve Harvey Shari Headley Shad Moss,Christopher Erskin
2834,Comedy,carpet pimp harvard university joint cannabis,They've got their degrees all rolled up.,How High,Method Man Redman Obba Babatund\u00e9 Mike Epps Anna Maria Horsford,Jesse Dylan
2835,Comedy Family Fantasy Drama,holiday future musical past scrooge,,The Muppet Christmas Carol,Michael Caine Don Austen Meredith Braun Don Austen Ed Sanders,Brian Henson
2836,Drama Romance,painter love of one's life disabled woman director,Prepare to be seduced,Frida,Salma Hayek Alfred Molina M\u00eda Maestro Patricia Reyes Sp\u00edndola Diego Luna,Julie Taymor
2837,Documentary Music,woman director,Be yourself and you can be anything,Katy Perry: Part of Me,Katy Perry Russell Brand Shannon Woodward Rachael Markarian Mia Moretti,Dan Cutforth
2838,Romance Drama,amsterdam based on novel support group cancer teenager,One Sick Love Story,The Fault in Our Stars,Shailene Woodley Ansel Elgort Nat Wolff Laura Dern Sam Trammell,Josh Boone
2839,Drama Crime,gambling law compulsive gambling roulette gain,Trust everyone... But always cut the cards.,Rounders,Matt Damon John Turturro Gretchen Mol Goran Visnjic Edward Norton,John Dahl
2840,Drama Comedy,comedian interview reporter movie star fianc\u00e9 fianc\u00e9e relationship,,Top Five,Chris Rock Rosario Dawson J.B. Smoove Gabrielle Union Romany Malco,Chris Rock
2841,Horror Science Fiction,monster mutant toxic native american environmental,,Prophecy,Talia Shire Robert Foxworth Armand Assante Richard Dysart Victoria Racimo,John Frankenheimer
2842,Horror Mystery Thriller,secret obsession paranoia grave haunted house,In every mind there is a door that should never be opened.,Stir of Echoes,Kevin Bacon Kathryn Erbe Illeana Douglas Kevin Dunn Conor O'Farrell,David Koepp
2843,Drama,mother washington d.c. journalist adoption forgiveness,These two unlikely companions are on a journey to find her long lost son.,Philomena,Judi Dench Steve Coogan Sophie Kennedy Clark Mare Winningham Barbara Jefford,Stephen Frears
2844,Comedy Drama,sex lie college funeral friendship,Sometimes what tears us apart helps us put it back together.,The Upside of Anger,Joan Allen Kevin Costner Erika Christensen Keri Russell Alicia Witt,Mike Binder
2845,Horror Drama Thriller Science Fiction,paraguay mengele nazi hunter third reich,If they survive...will we?,The Boys from Brazil,Gregory Peck Laurence Olivier James Mason Lilli Palmer Uta Hagen,Franklin J. Schaffner
2846,Fantasy Romance Family Comedy,female friendship mermaid teenager woman director,A Fish-Out-Of-Water Comedy.,Aquamarine,Emma Roberts Joanna 'JoJo' Levesque Sara Paxton Jake McDorman Arielle Kebbel,Elizabeth Allen Rosenbaum
2847,Drama Mystery Romance,friendship high school teenager classmate based on young adult novel,Get Lost. Get Found.,Paper Towns,Nat Wolff Cara Delevingne Justice Smith Austin Abrams Halston Sage,Jake Schreier
2848,Comedy,birth expectant mother fatherhood baby born woman director,,My Baby's Daddy,Eddie Griffin Anthony Anderson Michael Imperioli Method Man Paula Jai Parker,Cheryl Dunye
2849,Drama Adventure,montana small town dementia aging road trip,Life's not about winning or losing. It's about how you get there in the end.,Nebraska,Bruce Dern Will Forte Bob Odenkirk June Squibb Stacy Keach,Alexander Payne
2850,Horror Comedy Thriller,prostitute key jesus christ chosen one god,Ready for your deadtime story?,Tales from the Crypt: Demon Knight,Billy Zane William Sadler Jada Pinkett Smith Brenda Bakke CCH Pounder,Ernest R. Dickerson
2851,Comedy Family Fantasy Science Fiction,,His World. His Rules.,Max Keeble's Big Move,Alex D. Linz Zena Grey Nora Dunn Larry Miller Josh Peck,Tim Hill
2852,Comedy Drama,jealousy dark comedy writer divorce alcoholic,Everyone gets old. Not everyone grows up.,Young Adult,Charlize Theron Patton Oswalt Patrick Wilson Elizabeth Reaser Collette Wolfe,Jason Reitman
2853,Action Thriller Crime,poison helicopter assassin nudity hitman,"There are a thousand ways to raise your adrenaline. Today, Chev Chelios will need every single one.",Crank,Jason Statham Amy Smart Jose Pablo Cantillo Efren Ramirez Dwight Yoakam,Brian Taylor
2854,Comedy Romance,sex party friends player,,Def Jam's How to Be a Player,Bill Bellamy Lark Voorhies Bernie Mac Elise Neal,Lionel C. Martin
2855,Comedy Drama Romance,female protagonist relationship divorce brooklyn bridge,,Living Out Loud,Holly Hunter Danny DeVito Queen Latifah Martin Donovan Rachael Leigh Cook,Richard LaGravenese
2856,Comedy Drama Romance,woman director,In this game every shot counts.,Just Wright,Queen Latifah Common Paula Patton James Pickens Jr. Phylicia Rash\u0101d,Sanaa Hamri
2857,Drama,sister independent film maid of honor,,Rachel Getting Married,Anne Hathaway Rosemarie DeWitt Sebastian Stan Roslyn Ruff Bill Irwin,Jonathan Demme
2858,Romance Crime Drama,sex adultery confession based on novel obsession,You Will Feel The Heat,The Postman Always Rings Twice,Jack Nicholson Jessica Lange John Colicos Michael Lerner Anjelica Huston,Bob Rafelson
2859,Drama Romance,painter biography painting maid,Discover the mystery behind the legend.,Girl with a Pearl Earring,Scarlett Johansson Colin Firth Cillian Murphy Tom Wilkinson Judy Parfitt,Peter Webber
2860,Action Drama History War Adventure,terror submarine based on novel atlantic ocean gibraltar,When the hunters become the hunted,Das Boot,J\u00fcrgen Prochnow Herbert Gr\u00f6nemeyer Klaus Wennemann Hubertus Bengsch Martin Semmelrogge,Wolfgang Petersen
2861,Comedy,sorority cross dressing university t shirt sorority girl,,Sorority Boys,Barry Watson Michael Rosenbaum Harland Williams Melissa Sagemiller Tony Denman,Wallace Wolodarsky
2862,Comedy Drama Science Fiction,london england father son relationship time travel,What if every moment in life came with a second chance?,About Time,Domhnall Gleeson Rachel McAdams Bill Nighy Lydia Wilson Lindsay Duncan,Richard Curtis
2863,Adventure Drama Action Romance,martial arts swordplay government rebellion dagger,,House of Flying Daggers,Takeshi Kaneshiro Andy Lau Zhang Ziyi Song Dandan Zhao Hongfei,Zhang Yimou
2864,Drama Thriller,cover-up hedge fund,Power is the best alibi.,Arbitrage,Richard Gere Susan Sarandon Tim Roth Brit Marling Monica Raymund,Nicholas Jarecki
2865,Science Fiction Thriller,time travel time machine teenager found footage,Today is better the second time around,Project Almanac,Jonny Weston Virginia Gardner Sofia Black-D'Elia Sam Lerner Allen Evangelista,Dean Israelite
2866,Drama History Music,woman director,,Cadillac Records,Adrien Brody Jeffrey Wright Beyonc\u00e9 Knowles Gabrielle Union Columbus Short,Darnell Martin
2867,Action Comedy,,,Screwed,Norm Macdonald Dave Chappelle Danny DeVito Elaine Stritch Daniel Benzali,Scott Alexander
2868,Action Thriller Science Fiction,prison cyborg married couple future dystopia,The high-tech prison thirty stories below ground. Built to withstand anything... Execpt an innocent man.,Fortress,Christopher Lambert Kurtwood Smith Loryn Locklin Clifton Collins Jr Jeffrey Combs,Stuart Gordon
2869,Comedy Drama,,,For Your Consideration,Catherine O'Hara Harry Shearer Parker Posey Christopher Moynihan John Michael Higgins,Christopher Guest
2870,Drama Comedy,exzentrik independent film reporter ex-wife spectacle,A funny look at people who will do anything to get famous... or stay famous.,Celebrity,Kenneth Branagh Judy Davis Joe Mantegna Leonardo DiCaprio Charlize Theron,Woody Allen
2871,Drama Comedy,gay sister sister relationship wife husband relationship 1970s becoming an adult,Ever have one of those lives?,Running with Scissors,Annette Bening Brian Cox Joseph Cross Joseph Fiennes Evan Rachel Wood,Ryan Murphy
2872,Comedy Romance,musical,The tale of two American Idols.,From Justin to Kelly,Kelly Clarkson Justin Guarini  Brandon Henschel Greg Siff Brian Dietzen,Robert Iscove
2873,Comedy,independent film neighbor masturbation phone sex actress,"A fresh, sassy and sexy comedy!",Girl 6,Theresa Randle Isaiah Washington Spike Lee Jenifer Lewis Debi Mazar,Spike Lee
2874,Mystery Thriller,eroticism suspense woman director,Everything you know about desire is dead wrong.,In the Cut,Meg Ryan Mark Ruffalo Jennifer Jason Leigh Nick Damici Heather Litteer,Jane Campion
2875,Drama Romance,love of one's life neighbor,,Two Lovers,Joaquin Phoenix Gwyneth Paltrow Isabella Rossellini Vinessa Shaw Moni Moshonov,James Gray
2876,Comedy Drama,based on novel war veteran male friendship death of a friend friendship,,Last Orders,Michael Caine Tom Courtenay David Hemmings Bob Hoskins Helen Mirren,Fred Schepisi
2877,Horror Drama Science Fiction,river mobile phone bravery archer daughter,Monsters are real.,The Host,Song Kang-ho Park Hae-il Bae Doona Ko Ah-sung Byun Hee-bong,Bong Joon-ho
2878,Adventure Crime Thriller,,Who says you can't take it with you?,The Pursuit of D.B. Cooper,Robert Duvall Treat Williams Kathryn Harrold Ed Flanders Paul Gleason,Roger Spottiswoode
2879,Comedy Horror Thriller Western,winter cliff cooking cave nudity,You Are Who You Eat,Ravenous,Guy Pearce Robert Carlyle David Arquette Jeremy Davies Neal McDonough,Antonia Bird
2880,Comedy Drama,depression suicide attempt medicine new love drug addiction,Popularity is a state of mind.,Charlie Bartlett,Anton Yelchin Robert Downey Jr. Hope Davis Kat Dennings Tyler Hilton,Jon Poll
2881,Comedy Drama,alcohol rome vatican based on novel birthday,,The Great Beauty,Toni Servillo Carlo Verdone Sabrina Ferilli Carlo Buccirosso Iaia Forte,Paolo Sorrentino
2882,Comedy Drama,independent film,,The Dangerous Lives of Altar Boys,Emile Hirsch Kieran Culkin Jodie Foster Vincent D'Onofrio Jena Malone,Peter Care
2883,Drama Horror Thriller,mystery,Innocence Ends.,Stoker,Mia Wasikowska Nicole Kidman Matthew Goode Dermot Mulroney Jacki Weaver,Park Chan-wook
2884,Fantasy Drama Science Fiction Romance,free love hotel lovesickness sexuality kung fu,Are you still in the mood for love?,2046,Tony Leung Chiu-Wai Zhang Ziyi Faye Wong Takuya Kimura Gong Li,Wong Kar-wai
2885,Crime Drama Romance,sex jealousy lover (female) restaurant deceived husband,,Married Life,Chris Cooper Pierce Brosnan Patricia Clarkson Rachel McAdams David Wenham,Ira Sachs
2886,Adventure Drama Family,adolescence loss of father lion south africa bullying,Some friendships are wilder than others,Duma,Alex Michaeletos Campbell Scott Mary Makhatho Nthabiseng Kenoshi Hope Davis,Carroll Ballard
2887,Drama Romance,alcohol mermaid wedding dress fishing net selkie,The truth is not what you know. It's what you believe.,Ondine,Colin Farrell Alicja Bachleda-Curu\u015b Dervla Kirwan Alison Barry Marion O'Dwyer,Neil Jordan
2888,Crime Drama Thriller,brother brother relationship assassination culture clash war on drugs yakuza,Are You Japanese?,Brother,Takeshi Kitano Omar Epps Claude Maki Susumu Terajima Masaya Kato,Takeshi Kitano
2889,Comedy,safe remake heist inner city,Five guys. One safe. No brains.,Welcome to Collinwood,William H. Macy Isaiah Washington Sam Rockwell Michael Jeter Luis Guzm\u00e1n,Anthony Russo
2890,Comedy Drama,nun satire hospital half sister,,Critical Care,James Spader Kyra Sedgwick Helen Mirren Albert Brooks Anne Bancroft,Sidney Lumet
2891,Thriller Drama Mystery,suspense,Your life can change in an instant. That instant can last forever.,The Life Before Her Eyes,Uma Thurman Evan Rachel Wood Eva Amurri Martino Gabrielle Brennan Brett Cullen,Vadim Perelman
2892,Drama Romance,aftercreditsstinger,,Darling Companion,Diane Keaton Kevin Kline Sam Shepard Dianne Wiest Richard Jenkins,Lawrence Kasdan
2893,Drama Thriller,usa sex brother sister relationship mexico city border,"Each year, more than 1,000,000 people are trafficked across international borders... against their will.",Trade,Kevin Kline Cesar Ramos Paulina Gaita\u0301n Alicja Bachleda-Curu\u015b Marco P\u00e9rez,Marco Kreuzpaintner
2894,War Drama,budapest hungary concentration camp world war ii,You can close your eyes. You can turn away. But you will never forget.,Fateless,Marcell Nagy B\u00e9la D\u00f3ra B\u00e1lint P\u00e9ntek \u00c1ron Dim\u00e9ny P\u00e9ter Fancsikai,Lajos Koltai
2895,Comedy,wife husband relationship success author extramarital affair,,Breakfast of Champions,Bruce Willis Albert Finney Nick Nolte Barbara Hershey Glenne Headly,Alan Rudolph
